Region,Population,Net_migration,Infant_mortality_per_1000_births,GDP,Literacy_percent,Arable_percent,Birthrate,Deathrate
ASIA (EX. NEAR EAST)         ,31056997,23.06,163.07,700.0,36.0,12.13,46.6,20.34
EASTERN EUROPE                     ,3581655,-4.93,21.52,4500.0,86.5,21.09,15.11,5.22
NORTHERN AFRICA                    ,32930091,-0.39,31.0,6000.0,70.0,3.22,17.14,4.61
OCEANIA                            ,57794,-20.71,9.27,8000.0,97.0,10.0,22.46,3.27
WESTERN EUROPE                     ,71201,6.6,4.05,19000.0,100.0,2.22,8.71,6.25
SUB-SAHARAN AFRICA                 ,12127071,0.0,191.19,1900.0,42.0,2.41,45.11,24.2
LATIN AMER. & CARIB    ,13477,10.76,21.03,8600.0,95.0,0.0,14.17,5.34
LATIN AMER. & CARIB    ,69108,-6.15,19.46,11000.0,89.0,18.18,16.93,5.37
LATIN AMER. & CARIB    ,39921833,0.61,15.18,11200.0,97.1,12.31,16.73,7.55
C.W. OF IND. STATES ,2976372,-6.47,23.28,3500.0,98.6,17.55,12.07,8.23
LATIN AMER. & CARIB    ,71891,0.0,5.89,28000.0,97.0,10.53,11.03,6.68
OCEANIA                            ,20264082,3.98,4.69,29000.0,100.0,6.55,12.14,7.51
WESTERN EUROPE                     ,8192880,2.0,4.66,30000.0,98.0,16.91,8.74,9.76
C.W. OF IND. STATES ,7961619,-4.9,81.74,3400.0,97.0,19.63,20.74,9.75
LATIN AMER. & CARIB    ,303770,-2.2,25.21,16700.0,95.6,0.8,17.57,9.05
NEAR EAST                          ,698585,1.05,17.27,16900.0,89.1,2.82,17.8,4.14
ASIA (EX. NEAR EAST)         ,147365352,-0.71,62.6,1900.0,43.1,62.11,29.8,8.27
LATIN AMER. & CARIB    ,279912,-0.31,12.5,15700.0,97.4,37.21,12.71,8.67
C.W. OF IND. STATES ,10293011,2.54,13.37,6100.0,99.6,29.55,11.16,14.02
WESTERN EUROPE                     ,10379067,1.23,4.68,29100.0,98.0,23.28,10.38,10.27
LATIN AMER. & CARIB    ,287730,0.0,25.69,4900.0,94.1,2.85,28.84,5.72
SUB-SAHARAN AFRICA                 ,7862944,0.0,85.0,1100.0,40.9,18.08,38.85,12.22
NORTHERN AMERICA                   ,65773,2.49,8.53,36000.0,98.0,20.0,11.4,7.74
ASIA (EX. NEAR EAST)         ,2279723,0.0,100.44,1300.0,42.2,3.09,33.65,12.7
LATIN AMER. & CARIB    ,8989046,-1.32,53.11,2400.0,87.2,2.67,23.3,7.53
EASTERN EUROPE                     ,4498976,0.31,21.05,6100.0,,13.6,8.77,8.27
SUB-SAHARAN AFRICA                 ,1639833,0.0,54.58,9000.0,79.8,0.65,23.08,29.5
LATIN AMER. & CARIB    ,188078227,-0.03,29.61,7600.0,86.4,6.96,16.56,6.17
LATIN AMER. & CARIB    ,23098,10.01,18.05,16000.0,97.8,20.0,14.89,4.42
ASIA (EX. NEAR EAST)         ,379444,3.59,12.61,18600.0,93.9,0.57,18.79,3.45
EASTERN EUROPE                     ,7385367,-4.58,20.55,7600.0,98.6,40.02,9.65,14.27
SUB-SAHARAN AFRICA                 ,13902972,0.0,97.57,1100.0,26.6,14.43,45.62,15.6
ASIA (EX. NEAR EAST)         ,47382633,-1.8,67.24,1800.0,85.3,15.19,17.91,9.83
SUB-SAHARAN AFRICA                 ,8090068,-0.06,69.29,600.0,51.6,35.05,42.22,13.46
ASIA (EX. NEAR EAST)         ,13881427,0.0,71.48,1900.0,69.4,20.96,26.9,9.06
SUB-SAHARAN AFRICA                 ,17340702,0.0,68.26,1800.0,79.0,12.81,33.89,13.47
NORTHERN AMERICA                   ,33098932,5.96,4.75,29800.0,97.0,4.96,10.78,7.8
SUB-SAHARAN AFRICA                 ,420979,-12.07,47.77,1400.0,76.6,9.68,24.87,6.55
LATIN AMER. & CARIB    ,45436,18.75,8.19,35000.0,98.0,3.85,12.74,4.89
SUB-SAHARAN AFRICA                 ,4303356,0.0,91.0,1100.0,51.0,3.1,33.91,18.65
SUB-SAHARAN AFRICA                 ,9944201,-0.11,93.82,1200.0,47.5,2.86,45.73,16.38
LATIN AMER. & CARIB    ,16134219,0.0,8.8,9900.0,96.2,2.65,15.23,5.81
ASIA (EX. NEAR EAST)         ,1313973713,-0.4,24.18,5000.0,90.9,15.4,13.25,6.97
LATIN AMER. & CARIB    ,43593035,-0.31,20.97,6300.0,92.5,2.42,20.48,5.58
SUB-SAHARAN AFRICA                 ,690948,0.0,74.93,700.0,56.5,35.87,36.93,8.2
SUB-SAHARAN AFRICA                 ,62660551,0.0,94.69,700.0,65.5,2.96,43.69,13.27
SUB-SAHARAN AFRICA                 ,3702314,-0.17,93.86,700.0,83.8,0.51,42.57,12.93
OCEANIA                            ,21388,,,5000.0,95.0,17.39,21.0,
LATIN AMER. & CARIB    ,4075261,0.51,9.95,9100.0,96.0,4.41,18.32,4.36
SUB-SAHARAN AFRICA                 ,17654843,-0.07,90.83,1400.0,50.9,9.75,35.11,14.84
EASTERN EUROPE                     ,4494749,1.58,6.84,10600.0,98.5,26.09,9.61,11.48
LATIN AMER. & CARIB    ,11382820,-1.58,6.33,2900.0,97.0,33.05,11.89,7.22
